RunId,Ordinal,ObservationId,GroundTruthEntityId,Species,Cp,AttackIv,DefenseIv,HpIv,Nickname,GroundTruthStatus,GroundTruthSource,ReviewerNote,DetailsEvidence,AppraisalEvidence,ScannerSpecies,ScannerCp,ScannerAttackIv,ScannerDefenseIv,ScannerHpIv,ScannerNickname
cleanup-20260726-140142-3b9c64fefe7,1,cleanup-20260726-140142-3b9c64fefe7:000001,task-k-ordinal-001,Froakie,204,12,13,0,,Verified,local-data/validation/reid-pilot-2x50/task-k/run1/evidence/0018-appraisal-bars.png|local-data/validation/reid-pilot-2x50/task-k/run1/evidence/0011-cleanup-identity.png,Visually verified against Details and appraisal evidence.
cleanup-20260726-141611-97f6d33708d,1,cleanup-20260726-141611-97f6d33708d:000001,task-k-ordinal-001,Froakie,204,12,13,0,,Verified,local-data/validation/reid-pilot-2x50/task-k/run2/evidence/0011-cleanup-identity.png,Visually verified against paired Details evidence.
cleanup-20260726-140142-3b9c64fefe7,2,cleanup-20260726-140142-3b9c64fefe7:000002,task-k-ordinal-002,Pikachu,402,0,5,13,,Verified,local-data/validation/reid-pilot-2x50/task-k/run1/evidence/0021-carousel-appraisal-identity.png,Visually verified against Details and appraisal bars.
cleanup-20260726-141611-97f6d33708d,2,cleanup-20260726-141611-97f6d33708d:000002,task-k-ordinal-002,Pikachu,402,0,5,13,,Verified,local-data/validation/reid-pilot-2x50/task-k/run2/evidence/0021-carousel-appraisal-identity.png,Visually verified against paired Details and appraisal bars.
cleanup-20260726-140142-3b9c64fefe7,14,cleanup-20260726-140142-3b9c64fefe7:000014,task-k-ordinal-014,Illumise,164,4,9,5,,Verified,local-data/validation/reid-pilot-2x50/task-k/run1/evidence/0081-carousel-appraisal-identity.png,Visually verified; scanner species was Unknown.
cleanup-20260726-141611-97f6d33708d,14,cleanup-20260726-141611-97f6d33708d:000014,task-k-ordinal-014,Illumise,164,4,9,5,,Verified,local-data/validation/reid-pilot-2x50/task-k/run2/evidence/0081-carousel-appraisal-identity.png,Visually verified; scanner species was Unknown.
cleanup-20260726-140142-3b9c64fefe7,18,cleanup-20260726-140142-3b9c64fefe7:000018,task-k-ordinal-018,Shellder,802,14,0,12,,Verified,local-data/validation/reid-pilot-2x50/task-k/run1/evidence/0101-carousel-appraisal-identity.png,Visually verified against Details and appraisal bars.
cleanup-20260726-141611-97f6d33708d,18,cleanup-20260726-141611-97f6d33708d:000018,task-k-ordinal-018,Shellder,802,14,0,12,,Verified,local-data/validation/reid-pilot-2x50/task-k/run2/evidence/0101-carousel-appraisal-identity.png,Visually verified against paired Details and appraisal bars.
cleanup-20260726-140142-3b9c64fefe7,24,cleanup-20260726-140142-3b9c64fefe7:000024,task-k-ordinal-024,Plusle,545,8,1,8,,Verified,local-data/validation/reid-pilot-2x50/task-k/run1/evidence/0131-carousel-appraisal-identity.png,Visually verified against Details and appraisal bars.
cleanup-20260726-141611-97f6d33708d,24,cleanup-20260726-141611-97f6d33708d:000024,task-k-ordinal-024,Plusle,545,8,1,8,,Verified,local-data/validation/reid-pilot-2x50/task-k/run2/evidence/0131-carousel-appraisal-identity.png,Visually verified against paired Details and appraisal bars.
cleanup-20260726-140142-3b9c64fefe7,25,cleanup-20260726-140142-3b9c64fefe7:000025,task-k-ordinal-025,Hoopa,22,11,11,14,,Verified,local-data/validation/reid-pilot-2x50/task-k/run1/evidence/0136-carousel-appraisal-identity.png,Visually verified against Details and appraisal bars.
cleanup-20260726-141611-97f6d33708d,25,cleanup-20260726-141611-97f6d33708d:000025,task-k-ordinal-025,Hoopa,22,11,11,14,,Verified,local-data/validation/reid-pilot-2x50/task-k/run2/evidence/0136-carousel-appraisal-identity.png,Visually verified against paired Details and appraisal bars.
cleanup-20260726-140142-3b9c64fefe7,27,cleanup-20260726-140142-3b9c64fefe7:000027,task-k-ordinal-027,Karrablast,476,12,10,10,,Verified,local-data/validation/reid-pilot-2x50/task-k/run1/evidence/0146-carousel-appraisal-identity.png,Visually verified; CP correction is documented.
cleanup-20260726-141611-97f6d33708d,27,cleanup-20260726-141611-97f6d33708d:000027,task-k-ordinal-027,Karrablast,476,12,10,10,,Verified,local-data/validation/reid-pilot-2x50/task-k/run2/evidence/0146-carousel-appraisal-identity.png,Visually verified; CP correction is documented.
cleanup-20260726-140142-3b9c64fefe7,30,cleanup-20260726-140142-3b9c64fefe7:000030,task-k-ordinal-030,Eevee,463,15,6,9,,Verified,local-data/validation/reid-pilot-2x50/task-k/run1/evidence/0161-carousel-appraisal-identity.png,Visually verified; CP correction is documented.
cleanup-20260726-141611-97f6d33708d,30,cleanup-20260726-141611-97f6d33708d:000030,task-k-ordinal-030,Eevee,463,15,6,9,,Verified,local-data/validation/reid-pilot-2x50/task-k/run2/evidence/0161-carousel-appraisal-identity.png,Visually verified; CP correction is documented.
cleanup-20260726-140142-3b9c64fefe7,33,cleanup-20260726-140142-3b9c64fefe7:000033,task-k-ordinal-033,Natu,978,10,15,12,,Verified,local-data/validation/reid-pilot-2x50/task-k/run1/evidence/0176-carousel-appraisal-identity.png,Visually verified against Details and appraisal bars.
cleanup-20260726-141611-97f6d33708d,33,cleanup-20260726-141611-97f6d33708d:000033,task-k-ordinal-033,Natu,978,10,15,12,,Verified,local-data/validation/reid-pilot-2x50/task-k/run2/evidence/0176-carousel-appraisal-identity.png,Visually verified against paired Details and appraisal bars.
cleanup-20260726-140142-3b9c64fefe7,35,cleanup-20260726-140142-3b9c64fefe7:000035,task-k-ordinal-035,Enamorus,240,11,15,13,,Verified,local-data/validation/reid-pilot-2x50/task-k/run1/evidence/0186-carousel-appraisal-identity.png,Visually verified against Details and appraisal bars.
cleanup-20260726-141611-97f6d33708d,35,cleanup-20260726-141611-97f6d33708d:000035,task-k-ordinal-035,Enamorus,240,11,15,13,,Verified,local-data/validation/reid-pilot-2x50/task-k/run2/evidence/0186-carousel-appraisal-identity.png,Visually verified against paired Details and appraisal bars.
cleanup-20260726-140142-3b9c64fefe7,40,cleanup-20260726-140142-3b9c64fefe7:000040,task-k-ordinal-040,Snover,16,15,15,15,Snover 100,Verified,local-data/validation/reid-pilot-2x50/task-k/run1/evidence/0211-carousel-appraisal-identity.png,Visually verified; nickname Snover 100 is visible.
cleanup-20260726-141611-97f6d33708d,40,cleanup-20260726-141611-97f6d33708d:000040,task-k-ordinal-040,Snover,16,15,15,15,Snover 100,Verified,local-data/validation/reid-pilot-2x50/task-k/run2/evidence/0211-carousel-appraisal-identity.png,Visually verified; nickname Snover 100 is visible.
cleanup-20260726-140142-3b9c64fefe7,42,cleanup-20260726-140142-3b9c64fefe7:000042,task-k-ordinal-042,Sableye,608,12,12,12,,Verified,local-data/validation/reid-pilot-2x50/task-k/run1/evidence/0221-carousel-appraisal-identity.png,Visually verified against Details and appraisal bars.
cleanup-20260726-141611-97f6d33708d,42,cleanup-20260726-141611-97f6d33708d:000042,task-k-ordinal-042,Sableye,608,12,12,12,,Verified,local-data/validation/reid-pilot-2x50/task-k/run2/evidence/0221-carousel-appraisal-identity.png,Visually verified against paired Details and appraisal bars.
cleanup-20260726-140142-3b9c64fefe7,44,cleanup-20260726-140142-3b9c64fefe7:000044,task-k-ordinal-044,Archen,749,10,12,10,,Verified,local-data/validation/reid-pilot-2x50/task-k/run1/evidence/0231-carousel-appraisal-identity.png,Visually verified; CP correction is documented.
cleanup-20260726-141611-97f6d33708d,44,cleanup-20260726-141611-97f6d33708d:000044,task-k-ordinal-044,Archen,749,10,12,10,,Verified,local-data/validation/reid-pilot-2x50/task-k/run2/evidence/0231-carousel-appraisal-identity.png,Visually verified; CP correction is documented.
cleanup-20260726-140142-3b9c64fefe7,47,cleanup-20260726-140142-3b9c64fefe7:000047,task-k-ordinal-047,Weedle,27,5,13,4,,Verified,local-data/validation/reid-pilot-2x50/task-k/run1/evidence/0246-carousel-appraisal-identity.png,Visually verified; CP correction is documented.
cleanup-20260726-141611-97f6d33708d,47,cleanup-20260726-141611-97f6d33708d:000047,task-k-ordinal-047,Weedle,27,5,13,4,,Verified,local-data/validation/reid-pilot-2x50/task-k/run2/evidence/0246-carousel-appraisal-identity.png,Visually verified; CP correction is documented.
cleanup-20260726-140142-3b9c64fefe7,49,cleanup-20260726-140142-3b9c64fefe7:000049,task-k-ordinal-049,Tyranitar,2176,15,13,14,,Verified,local-data/validation/reid-pilot-2x50/task-k/run1/evidence/0256-carousel-appraisal-identity.png,Visually verified; CP correction is documented.
cleanup-20260726-141611-97f6d33708d,49,cleanup-20260726-141611-97f6d33708d:000049,task-k-ordinal-049,Tyranitar,2176,15,13,14,,Verified,local-data/validation/reid-pilot-2x50/task-k/run2/evidence/0256-carousel-appraisal-identity.png,Visually verified; CP correction is documented.
